id,Country,RegionOfOrigin,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
1,AFGHANISTAN,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2,AFGHANISTAN,Americas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
3,AFGHANISTAN,East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
4,AFGHANISTAN,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
5,AFGHANISTAN,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
6,AFGHANISTAN,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
7,AFGHANISTAN,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
9,ALBANIA,Africa,..,..,..,..,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,3,0.5,1,1,1,3,1.1,2.1,3.5,24.2
10,ALBANIA,Americas,..,..,..,..,11,14,14,16,19,26,35,42,52,61,60,62,70,74,73.3,90,96.8,103.8,123.7,148.8,156.7
11,ALBANIA,East Asia and the Pacific,..,..,..,..,1,2,2,3,4,4,5,8,10,15,28,11,17,20,23.6,31,33,35.9,53.5,68.1,68.1
12,ALBANIA,Europe,..,..,..,..,322,295,320,439,532,610,703,857,1061,1335,1513,2239,2739,3214,2963.6,3423.7,3759.4,4485.4,4686.7,5331.6,5796
13,ALBANIA,Middle East,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2.6,3.6,4.3,4.7,7.2,11.7
14,ALBANIA,South Asia,..,..,..,..,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1,1,1,1.3,1.6,1.7,2.2,3.1,3.6
15,ALBANIA,Other not classified,..,..,..,..,22,4,5,11,1,4,3,28,2,6,252,100,103,202,189.7,123.2,233.8,103.3,244.7,364.5,345.8
